Founder,Company / Project,Description,Founded,Valuation / Status
Robin Li,Baidu,"Founded Baidu, a major Chinese search and AI company",2000,Public – ~$100B
Lei Jun,Xiaomi,"Founded Xiaomi, a consumer electronics and smartphone company",2010,Public – ~$140B
Zhang Yiming,ByteDance,"Founded ByteDance, an AI-driven content and social media company (TikTok)",2012,Private – ~$325B
Hiroshi Mikitani,Rakuten,"Founded Rakuten, a Japanese e-commerce and fintech group",1997,Public – ~$10B
Lee Hae-jin,Naver,"Founded Naver, a leading Korean portal and search company",1999,Public – ~$30B
Patrick Collison,Stripe,"Co-founded Stripe, a developer-focused online payments platform",2010,Private – ~$95B
John Collison,Stripe,"Co-founded Stripe, a developer-focused online payments platform",2010,Private – ~$95B
Max Levchin,PayPal,"Co-founded PayPal, an early online payments company",1998,Public – ~$85B
Peter Thiel,PayPal,Co-founded PayPal and later became a major tech investor,1998,Public – ~$85B
Demis Hassabis,DeepMind,"Co-founded DeepMind, a deep learning and reinforcement learning research lab",2010,Acquired – ~$500M
Mustafa Suleyman,DeepMind,"Co-founded DeepMind, later co-founding Inflection AI and joining Microsoft AI",2010,Acquired – ~$500M
Shane Legg,DeepMind,"Co-founded DeepMind, with focus on theoretical AI and safety",2010,Acquired – ~$500M
Sam Altman,OpenAI,"Co-founded OpenAI, a frontier AI research and product company",2015,Private – ~$500B
Greg Brockman,OpenAI,Co-founded OpenAI and served as key technical and product leader,2015,Private – ~$500B
Ilya Sutskever,OpenAI,Co-founded OpenAI and served as chief scientist in deep learning,2015,Private – ~$500B
Dario Amodei,Anthropic,"Co-founded Anthropic, a safety-focused frontier AI company",2021,Private – ~$180B
Daniela Amodei,Anthropic,"Co-founded Anthropic, overseeing operations and governance",2021,Private – ~$180B
Narayana Murthy,Infosys,"Founded Infosys, a major Indian IT services and consulting company",1981,Public – ~$80B
Tan Le,Emotiv,"Co-founded Emotiv, a neurotechnology and brain-computer interface company",2003,Private – est. ~$100M
Weili Dai,Marvell Technology,"Co-founded Marvell, a fabless semiconductor company",1995,Public – ~$50B
Melanie Perkins,Canva,"Co-founded Canva, an online design and publishing platform",2012,Private – ~$45B
Cliff Obrecht,Canva,"Co-founded Canva, focusing on operations and growth",2012,Private – ~$45B
Cameron Adams,Canva,"Co-founded Canva, leading product and user experience",2012,Private – ~$45B
Whitney Wolfe Herd,Bumble,"Founded Bumble, a women-first dating and social networking app",2014,Public – ~$10B
Anne Wojcicki,23andMe,"Co-founded 23andMe, a consumer genetics and genomics company",2006,Public – ~$1B
Reshma Saujani,Girls Who Code,"Founded Girls Who Code, a non-profit to close the gender gap in tech",2012,Non-profit – ~$0
Katrina Lake,Stitch Fix,"Founded Stitch Fix, an online personal styling and apparel company",2011,Public – ~$1B
Soichiro Honda,Honda Motor,"Founded Honda, a global engines and automotive company",1948,Public – ~$60B
Konosuke Matsushita,Panasonic,"Founded Panasonic, a major electronics and appliances company",1918,Public – ~$25B
Ken Olsen,Digital Equipment Corporation,"Founded DEC, a pioneer in minicomputers",1957,Acquired – ~$9.6B
Masayoshi Son,SoftBank,"Founded SoftBank, a telecom and technology investment conglomerate",1981,Public – ~$70B
Jason Citron,Discord,"Founded Discord, a real-time chat and communities platform",2015,Private – ~$15B
Palmer Luckey,Oculus,"Founded Oculus, reviving consumer virtual reality hardware",2012,Acquired – $2B
Satoshi Nakamoto,Bitcoin,Created the first decentralized cryptocurrency and blockchain enabling peer-to-peer digital cash,2009,Protocol – ~$800B
Vitalik Buterin,Ethereum,"Created Ethereum, a programmable smart contract blockchain for decentralized applications",2015,Protocol – ~$450B
Changpeng Zhao,Binance,"Founded Binance, one of the world’s largest cryptocurrency exchanges",2017,Private – ~$90B
Brian Armstrong,Coinbase,"Founded Coinbase, a major U.S.-regulated cryptocurrency exchange",2012,Public – ~$60B
Jesse Powell,Kraken,"Founded Kraken, an early major cryptocurrency exchange",2011,Private – ~$12B
Jed McCaleb,Stellar,"Founded Stellar, a blockchain network for low-cost cross-border payments",2014,Protocol – ~$7B
Chris Larsen,Ripple,"Co-founded Ripple, focusing on cross-border payments with XRP",2012,Protocol – ~$38B
Charles Hoskinson,Cardano,"Founded Cardano, a research-driven proof-of-stake blockchain",2015,Protocol – ~$28B
Gavin Wood,Polkadot,"Founded Polkadot, a multi-chain interoperability network",2016,Protocol – ~$11B
Anatoly Yakovenko,Solana,"Founded Solana, a high-performance Layer-1 blockchain using Proof-of-History",2017,Protocol – ~$85B
Raj Gokal,Solana,"Co-founded Solana, helping build its ecosystem and business",2017,Protocol – ~$85B
Tristan Yver,Backpack,"Co-founded Backpack, a Solana-focused wallet and exchange ecosystem",2022,Private – ~$750M
Armani Ferrante,Backpack,"Co-founded Backpack, a Solana-focused wallet and exchange ecosystem",2022,Private – ~$750M
Mert Mumtaz,Helius,"Founded Helius, a Solana infrastructure and developer tooling company",2022,Private – ~$400M
Hayden Adams,Uniswap,"Founded Uniswap, a decentralized exchange based on automated market makers",2018,Protocol – ~$9B
Stani Kulechov,Aave,"Founded Aave, a decentralized lending and borrowing protocol",2017,Protocol – ~$1.8B
Rune Christensen,MakerDAO,"Founded MakerDAO, a decentralized stablecoin and lending system issuing DAI",2015,Protocol – ~$1.8B
Andre Cronje,Yearn Finance,"Founded Yearn Finance, a DeFi protocol for yield aggregation",2020,Protocol – ~$0.8B
Justin Sun,TRON,"Founded TRON, a high-throughput smart contract blockchain",2017,Protocol – ~$13B
Jihan Wu,Bitmain,"Co-founded Bitmain, a major manufacturer of cryptocurrency mining hardware",2013,Private – ~$6B
Barry Silbert,Digital Currency Group,"Founded Digital Currency Group, a crypto holding and investment company",2015,Private – ~$10B
Andreessen Horowitz,a16z Crypto,"Leads a16z Crypto, a major crypto-focused venture capital arm",2018,AUM – ~$30B
